participant_id,question,control,s_all,d_all,w_all,s_adj,d_adj,w_adj,age,gender,see_robots,interact_robots,robot_attitude,tech_comfort
79,invasive-respectful,5,4,5,2,-1,0,-3,46+,Woman,3,2,3,3
79,unfriendly-friendly,3,4,4,2,1,1,-1,46+,Woman,3,2,3,3
79,dangerous-safe,5,4,5,3,-1,0,-2,46+,Woman,3,2,3,3
79,ignored-seen,3,5,5,4,2,2,1,46+,Woman,3,2,3,3
130,invasive-respectful,4,3,3,2,-1,-1,-2,26-35,Woman,5,4,3,4
130,unfriendly-friendly,1,2,3,2,1,2,1,26-35,Woman,5,4,3,4
130,dangerous-safe,3,3,3,3,0,0,0,26-35,Woman,5,4,3,4
130,ignored-seen,2,2,2,3,0,0,1,26-35,Woman,5,4,3,4
153,invasive-respectful,3,3,5,5,0,2,2,18-25,Woman,4,2,5,5
153,unfriendly-friendly,3,3,3,4,0,0,1,18-25,Woman,4,2,5,5
153,dangerous-safe,3,2,4,5,-1,1,2,18-25,Woman,4,2,5,5
153,ignored-seen,4,3,5,5,-1,1,1,18-25,Woman,4,2,5,5
128,invasive-respectful,3,2,3,3,-1,0,0,26-35,Woman,3,2,3,2
128,unfriendly-friendly,5,3,2,3,-2,-3,-2,26-35,Woman,3,2,3,2
128,dangerous-safe,5,3,3,2,-2,-2,-3,26-35,Woman,3,2,3,2
128,ignored-seen,1,1,1,1,0,0,0,26-35,Woman,3,2,3,2
33,invasive-respectful,3,5,5,5,2,2,2,46+,Woman,3,2,3,4
33,unfriendly-friendly,4,4,4,5,0,0,1,46+,Woman,3,2,3,4
33,dangerous-safe,5,5,5,5,0,0,0,46+,Woman,3,2,3,4
33,ignored-seen,4,5,5,5,1,1,1,46+,Woman,3,2,3,4
192,invasive-respectful,3,2,5,4,-1,2,1,36-45,Woman,5,3,3,4
192,unfriendly-friendly,3,2,4,4,-1,1,1,36-45,Woman,5,3,3,4
192,dangerous-safe,5,3,5,4,-2,0,-1,36-45,Woman,5,3,3,4
192,ignored-seen,3,4,5,4,1,2,1,36-45,Woman,5,3,3,4
42,invasive-respectful,3,4,5,3,1,2,0,26-35,Man,4,2,5,5
42,unfriendly-friendly,3,4,5,3,1,2,0,26-35,Man,4,2,5,5
42,dangerous-safe,3,4,4,2,1,1,-1,26-35,Man,4,2,5,5
42,ignored-seen,3,4,4,2,1,1,-1,26-35,Man,4,2,5,5
183,invasive-respectful,4,3,5,2,-1,1,-2,26-35,Man,3,2,2,4
183,unfriendly-friendly,3,3,3,3,0,0,0,26-35,Man,3,2,2,4
183,dangerous-safe,5,4,5,3,-1,0,-2,26-35,Man,3,2,2,4
183,ignored-seen,4,3,4,5,-1,0,1,26-35,Man,3,2,2,4
160,invasive-respectful,3,4,4,3,1,1,0,18-25,Man,3,2,2,3
160,unfriendly-friendly,4,4,4,4,0,0,0,18-25,Man,3,2,2,3
160,dangerous-safe,5,5,5,5,0,0,0,18-25,Man,3,2,2,3
160,ignored-seen,2,4,5,5,2,3,3,18-25,Man,3,2,2,3
157,invasive-respectful,2,4,4,5,2,2,3,46+,Woman,3,2,2,3
157,unfriendly-friendly,3,4,3,4,1,0,1,46+,Woman,3,2,2,3
