question,participant_id,control,s_mo,d_mo,w_mo,s_mls,d_mls,w_mls
invasive-respectful,79,5,4,5,2,4,5,2
unfriendly-friendly,79,3,4,4,2,4,5,2
dangerous-safe,79,5,4,5,3,4,5,3
ignored-seen,79,3,5,5,4,4,5,5
invasive-respectful,130,4,3,3,2,3,4,2
unfriendly-friendly,130,1,2,3,2,4,3,3
dangerous-safe,130,3,3,3,3,3,3,2
ignored-seen,130,2,2,2,3,4,3,4
invasive-respectful,153,3,3,5,5,3,4,3
unfriendly-friendly,153,3,3,3,4,4,3,4
dangerous-safe,153,3,2,4,5,4,4,4
ignored-seen,153,4,3,5,5,4,5,5
invasive-respectful,128,3,2,3,3,3,3,4
unfriendly-friendly,128,5,3,2,3,3,2,4
dangerous-safe,128,5,3,3,2,3,3,5
ignored-seen,128,1,1,1,1,3,1,5
invasive-respectful,33,3,5,5,5,4,4,5
unfriendly-friendly,33,4,4,4,5,3,2,4
dangerous-safe,33,5,5,5,5,5,5,5
ignored-seen,33,4,5,5,5,4,4,5
invasive-respectful,192,3,2,5,4,4,5,2
unfriendly-friendly,192,3,2,4,4,4,4,2
dangerous-safe,192,5,3,5,4,4,5,3
ignored-seen,192,3,4,5,4,5,5,5
invasive-respectful,42,3,4,5,3,4,5,5
unfriendly-friendly,42,3,4,5,3,4,5,4
dangerous-safe,42,3,4,4,2,4,5,3
ignored-seen,42,3,4,4,2,4,4,4
invasive-respectful,183,4,3,5,2,3,4,3
unfriendly-friendly,183,3,3,3,3,3,4,3
dangerous-safe,183,5,4,5,3,4,5,3
ignored-seen,183,4,3,4,5,5,5,5
invasive-respectful,160,3,4,4,3,5,5,5
unfriendly-friendly,160,4,4,4,4,4,5,5
dangerous-safe,160,5,5,5,5,5,5,5
ignored-seen,160,2,4,5,5,5,5,5
invasive-respectful,157,2,4,4,5,3,4,4
unfriendly-friendly,157,3,4,3,4,3,3,3
dangerous-safe,157,3,4,4,4,5,4,4
ignored-seen,157,4,5,5,5,4,5,5
invasive-respectful,62,5,5,5,4,4,5,5
unfriendly-friendly,62,5,5,4,3,4,5,5
dangerous-safe,62,5,4,5,4,3,5,5
ignored-seen,62,2,4,5,4,4,5,5
invasive-respectful,71,4,3,5,4,4,5,4
